date,name
2024-01-01 00:00:00,Vera C. Rubin Observatory
2024-01-01 08:00:00,Whipple Observatory
2024-01-01 16:00:00,Palomar Observatory
2024-01-02 00:00:00,Mount Graham Observatory
2024-01-02 08:00:00,MMT Observatory
2024-01-02 16:00:00,Lowell Observatory
2024-01-03 00:00:00,McDonald Observatory
2024-01-03 08:00:00,Apache Point Observatory
2024-01-03 16:00:00,Kitt Peak National Observatory
2024-01-04 00:00:00,"Observatorio Astronomico Nacional, San Pedro Martir"
2024-01-04 08:00:00,McDonald Observatory
2024-01-04 16:00:00,National Observatory of Venezuela
2024-01-05 00:00:00,Gemini South Observatory
2024-01-05 08:00:00,Las Campanas Observatory
2024-01-05 16:00:00,European Southern Observatory: La Silla
2024-01-06 00:00:00,ALMA
2024-01-06 08:00:00,"Complejo Astronomico El Leoncito, San Juan, Argentina"
2024-01-06 16:00:00,ALMA
2024-01-07 00:00:00,Lick Observatory
2024-01-07 08:00:00,Mount Lemmon
2024-01-07 16:00:00,"Las Cumbres Observatory, CA"
2024-01-08 00:00:00,Gemini South Observatory
2024-01-08 08:00:00,"Observatorio Astronomico Nacional, Tonantzintla"
2024-01-08 16:00:00,Cerro Tololo Interamerican Observatory
2024-01-09 00:00:00,Mount Graham Observatory
2024-01-09 08:00:00,"Table Mountain Observatory, CA"
2024-01-09 16:00:00,Mount Graham Observatory
2024-01-10 00:00:00,European Southern Observatory: Paranal
2024-01-10 08:00:00,European Southern Observatory: Paranal
2024-01-10 16:00:00,MMT Observatory
2024-01-11 00:00:00,Wyoming Infrared Observatory (WIRO)
2024-01-11 08:00:00,"New Mexico Skies, Mayhill, NM"
2024-01-11 16:00:00,Winer Observatory
2024-01-12 00:00:00,"Red Buttes Observatory, Wyoming"
2024-01-12 08:00:00,Whipple Observatory
2024-01-12 16:00:00,"Estacion Astrofisica Bosque Alegre, Cordoba, Argentina"
2024-01-13 00:00:00,Apache Point Observatory
2024-01-13 08:00:00,"Sommers-Bausch Observatory, Univ. of Colorado"
2024-01-13 16:00:00,"Laboratorio Nacional de Astrofisica, Brazil"
2024-01-14 00:00:00,Rothney Astrophysical Observatory (Calgary)
2024-01-14 08:00:00,"Observatoire du Mont-Mégantic, Québec"
2024-01-14 16:00:00,Lowell Observatory
2024-01-15 00:00:00,Vera C. Rubin Observatory
2024-01-15 08:00:00,Las Campanas Observatory
2024-01-15 16:00:00,Vera C. Rubin Observatory
2024-01-16 00:00:00,"Mauna Kea (Keck, Gemini, CFHT, Subaru, IRTF, etc.)"
2024-01-16 08:00:00,"Mauna Kea (Keck, Gemini, CFHT, Subaru, IRTF, etc.)"
2024-01-16 16:00:00,"Mauna Kea (Keck, Gemini, CFHT, Subaru, IRTF, etc.)"
2024-01-17 00:00:00,McDonald Observatory
2024-01-17 08:00:00,Palomar Observatory
2024-01-17 16:00:00,European Southern Observatory: Paranal
2024-01-18 00:00:00,Boyce-Astro Research Observatory (San Diego)
2024-01-18 08:00:00,Gemini South Observatory
2024-01-18 16:00:00,European Southern Observatory: La Silla
2024-01-19 00:00:00,"Sierra Remote Observatories, CA"
2024-01-19 08:00:00,Dominion Astrophysical Observatory
2024-01-19 16:00:00,MMT Observatory
2024-01-20 00:00:00,Kitt Peak National Observatory
2024-01-20 08:00:00,"Observatorio Astronomico Nacional, San Pedro Martir"
2024-01-20 16:00:00,McDonald Observatory
2024-01-21 00:00:00,ALMA
2024-01-21 08:00:00,National Observatory of Venezuela
2024-01-21 16:00:00,"Observatorio Astronomico de La Plata, Buenos Aires"
2024-01-22 00:00:00,"C.E.K. Mees Observatory, Univ. Rochester, NY"
2024-01-22 08:00:00,"Fan Mountain Observatory, VA"
2024-01-22 16:00:00,"Complejo Astronomico El Leoncito, San Juan, Argentina"
2024-01-23 00:00:00,Lick Observatory
2024-01-23 08:00:00,European Southern Observatory: Paranal
2024-01-23 16:00:00,Vera C. Rubin Observatory
2024-01-24 00:00:00,"Las Cumbres Observatory, CA"
2024-01-24 08:00:00,Maury Lewin Astronomical Observatory
2024-01-24 16:00:00,Palomar Observatory
2024-01-25 00:00:00,Mount Lemmon
2024-01-25 08:00:00,"Leander McCormick Observatory, Univ. of Virginia"
2024-01-25 16:00:00,Gemini South Observatory
2024-01-26 00:00:00,Las Campanas Observatory
2024-01-26 08:00:00,ALMA
2024-01-26 16:00:00,Whipple Observatory
2024-01-27 00:00:00,"Griffith Observatory, CA"
2024-01-27 08:00:00,Kitt Peak National Observatory
2024-01-27 16:00:00,McDonald Observatory
2024-01-28 00:00:00,"Moore Observatory, Univ. of Louisville, Kentucky"
2024-01-28 08:00:00,"Observatorio Astronomico Nacional, Tonantzintla"
2024-01-28 16:00:00,Lowell Observatory
2024-01-29 00:00:00,Apache Point Observatory
2024-01-29 08:00:00,"George Mason Univ. Observatory, Virginia"
2024-01-29 16:00:00,"Table Mountain Observatory, CA"
2024-01-30 00:00:00,Cerro Tololo Interamerican Observatory
2024-01-30 08:00:00,"Bowling Green State Univ. Observatory, Ohio"
2024-01-30 16:00:00,Wyoming Infrared Observatory (WIRO)
2024-01-31 00:00:00,"Williams College Observatory, MA"
2024-01-31 08:00:00,"Michael L. Britton Observatory, Dickinson College, PA"
2024-01-31 16:00:00,European Southern Observatory: La Silla
