Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2024-08-29 20:20:00-04:00,152.27041633741422,-80.42946939805813,191.6520825006891,-42.13693542790892,9128.898286953821,0%
2024-08-29 20:21:00-04:00,156.47457504835424,-82.89506190424567,188.67705705492693,-40.93510807067632,8940.745490192396,0%
2024-08-29 20:22:00-04:00,163.79582345103537,-85.36837080177743,185.69860986460995,-39.72529758527483,8748.519752820292,0%
2024-08-29 20:23:00-04:00,184.30228799704565,-87.72604825298427,182.7068545422953,-38.51075167519239,8552.8418561403,0%
2024-08-29 20:24:00-04:00,271.10012524461985,-88.45401360993493,179.69161916284324,-37.29482140158183,8354.390080888817,0%
2024-08-29 20:25:00-04:00,310.920213783865,-86.26250882669409,176.64243862413636,-36.081005417948994,8153.905384417417,0%
2024-08-29 20:26:00-04:00,321.32287181260375,-83.60581071317102,173.5485566627064,-34.872998391795065,7952.196981098836,0%
2024-08-29 20:27:00-04:00,326.6231504375187,-80.82112232026097,170.39894472482757,-33.67474372178186,7750.148233642816,0%
2024-08-29 20:28:00-04:00,330.3018941321319,-77.94496496366315,167.18234646470816,-32.490490401939574,7548.722692407204,0%
2024-08-29 20:29:00-04:00,333.29243953578367,-74.98287488188264,163.8873584827677,-31.3248534268464,7348.970021521479,0%
2024-08-29 20:30:00-04:00,335.9479435082501,-71.9335735283979,160.50255987283435,-30.182876400593813,7152.031418487097,0%
2024-08-29 20:31:00-04:00,338.4324502498497,-68.79382308014809,157.01670490166887,-29.07009392347384,6959.1439630333125,0%
2024-08-29 20:32:00-04:00,340.8336142622248,-65.56004115506363,153.4189941493901,-27.992589801552015,6771.643120418146,0%
2024-08-29 20:33:00-04:00,343.20346000569657,-62.22915734723696,149.69943884055624,-26.957045105759654,6590.962381213658,100%
2024-08-29 20:34:00-04:00,345.5755576918307,-58.79929291552023,145.84932968534991,-25.970767632133406,6418.628764702421,100%
2024-08-29 20:35:00-04:00,347.9730971262616,-55.27043546671342,141.86181384257108,-25.041691584208316,6256.252688581622,100%
2024-08-29 20:36:00-04:00,350.41299583395823,-51.64515686883616,137.73257008211363,-24.178333777474688,6105.510582934658,100%
2024-08-29 20:37:00-04:00,352.9081065262957,-47.929366335713915,133.46055188974833,-23.389691185198174,5968.118700679801,100%
2024-08-29 20:38:00-04:00,355.4684388069643,-44.13305079995017,129.04874162372133,-22.68506541584552,5845.79696930269,100%
2024-08-29 20:39:00-04:00,358.10183350891293,-40.27091989698125,124.50482907039166,-22.07380416492833,5740.222551671819,100%
