X,Y,Z
15302.550876928253,39280.38204753721,-677.5789915590161
15302.522232945637,39280.39321462704,-677.5785123381137
15302.493588954734,39280.40438169606,-677.5780331168514
15302.464944384164,39280.41554896699,-677.5775538856717
15302.436300377112,39280.42671599415,-677.5770746636873
15302.40765693345,39280.437882777645,-677.5765954509053
15302.379012910074,39280.44904976304,-677.5761162281973
15302.350368307027,39280.460216950385,-677.5756369955716
15302.321724267314,39280.47138389404,-677.5751577721436
15302.293080219593,39280.482550816734,-677.5746785483627
15302.264436735206,39280.493717495774,-677.5741993337765
15302.235792099535,39280.50488459956,-677.5737200997064
15302.207148027273,39280.51605145964,-677.573240874839
15302.178503947,39280.52721829876,-677.5727616496163
15302.149860430083,39280.53838489424,-677.572282433595
15302.121215761847,39280.54955191446,-677.5718031980796
15302.092571657111,39280.560718690955,-677.5713239717734
15302.063927544148,39280.57188544658,-677.5708447450962
15302.035283423214,39280.58305218125,-677.5703655180695
15302.006639293926,39280.594218895145,-677.5698862906796
15301.977995156678,39280.60538558804,-677.5694070629283
15301.949351011228,39280.61655226007,-677.5689278348183
15301.920706857665,39280.6277189112,-677.5684486063469
15301.892062124396,39280.63888576426,-677.5679693679548
15301.86341852598,39280.65005215086,-677.5674901483212
15301.834774348032,39280.66121873929,-677.5670109187743
15301.806130161955,39280.67238530684,-677.5665316888592
15301.777485396071,39280.68355207636,-677.5660524490207
15301.748841193568,39280.694718602215,-677.5655732183866
15301.720197554529,39280.70588488431,-677.5650939969499
15301.691553335966,39280.71705136827,-677.5646147656014
15301.66290853749,39280.72821805425,-677.5641355243207
15301.634264302553,39280.73938449644,-677.5636562922444
15301.60562005945,39280.75055091778,-677.5631770598118
15301.576976379714,39280.76171709543,-677.562697836575
15301.54833212045,39280.77288347495,-677.5622186034201
15301.519687281212,39280.78405005648,-677.5617393603413
15301.491043005564,39280.79521639424,-677.5612601264578
15301.462399293316,39280.80638248831,-677.560780901782
15301.433755001393,39280.817548784304,-677.5603016671821
15301.405110129823,39280.82871528217,-677.5598224226615
15301.3764658215,39280.83988153643,-677.5593431873427
15301.34782150517,39280.851047769705,-677.5588639516648
15301.319177752324,39280.86221375926,-677.5583847251859
15301.290532848043,39280.87338017366,-677.5579054792215
15301.26188850723,39280.88454634433,-677.5574262424618
15301.233244158344,39280.89571249405,-677.5569470053366
15301.204599801276,39280.906878622896,-677.55646776785
15301.175955436167,39280.91804473084,-677.5559885300138
15301.14731106271,39280.92921081797,-677.5555092918025
15301.118666681405,39280.940376884086,-677.5550300532431
15301.090022291772,39280.95154292938,-677.5545508143201
15301.061377322396,39280.96270917662,-677.5540715654671
15301.032733488106,39280.973874957315,-677.5535923353901
15301.004089074093,39280.98504093992,-677.553113095382
15300.975444652053,39280.9962069016,-677.5526338550181
15300.946799650092,39281.00737306528,-677.5521546047244
15300.918155211597,39281.01853898522,-677.5516753636359
15300.889511336614,39281.02970466146,-677.5511961317559
15300.860866881989,39281.04087053958,-677.5507168899462
15300.83222184746,39281.0520366197,-677.5502376382124
15300.80357737658,39281.06320245602,-677.5497583956817
15300.774933469047,39281.0743680487,-677.5492791623647
15300.746288981763,39281.08553384329,-677.5487999191125
15300.717643914752,39281.096699839814,-677.5483206659363
15300.688999411275,39281.107865592596,-677.5478414219696
15300.660354899586,39281.1190313245,-677.5473621776298
15300.631710951378,39281.13019681269,-677.5468829425039
15300.60306585178,39281.141362725684,-677.5464036878947
15300.57442131574,39281.15252839487,-677.5459244424775
15300.545776771489,39281.163694043236,-677.5454451967073
15300.517132219156,39281.174859670675,-677.5449659505729
15300.488488230305,39281.18602505441,-677.5444867136436
15300.459843090088,39281.197190862884,-677.5440074572298
15300.431198513304,39281.208356427655,-677.5435282100129
15300.402553928408,39281.21952197153,-677.5430489624356
15300.373909906926,39281.23068727172,-677.542569724061
15300.345264734082,39281.24185299667,-677.5420904662029
15300.316620124817,39281.25301847784,-677.5416112175503
15300.28797550739,39281.264183938125,-677.5411319685277
15300.259330881785,39281.275349377574,-677.5406527191556
15300.230685676446,39281.28651501891,-677.5401734598499
15300.202041606091,39281.29768019376,-677.5396942193156
15300.173396956161,39281.3088455705,-677.53921496886
15300.144752297992,39281.320010926356,-677.5387357180382
15300.116107060076,39281.331176484135,-677.5382564573008
15300.087462957283,39281.3423415754,-677.5377772153211
15300.058818274738,39281.35350686856,-677.5372979634217
15300.030173584013,39281.364672140866,-677.5368187111583
15300.001528313587,39281.37583761505,-677.5363394489704
15299.972883606606,39281.387002845564,-677.5358601959911
15299.944239463135,39281.398167832354,-677.5353809522154
15299.915594739985,39281.40933302105,-677.5349016985158
15299.886949436905,39281.420498411724,-677.5344224348868
15299.858304697385,39281.43166355864,-677.533943180465
15299.829659949788,39281.44282868466,-677.533463925678
15299.80101576559,39281.45399356701,-677.5329846800976
15299.77237043004,39281.46515887408,-677.5325054150319
15299.74372565799,39281.47632393743,-677.5320261591633
15299.715080877766,39281.48748897991,-677.5315469029385
